2,110,270
3,110,270
4,110,270
5,110,270
6,110,270
7,111,264
8,119,271
9,120,272
10,119,259
11,119,262
12,119,262
13,102,254
14,102,250
15,102,246
16,103,245
17,106,240
18,111,240
19,111,240
20,118,243
21,117,235
22,117,235
23,119,240
24,119,234
25,119,234
26,120,240
27,120,229
28,119,234
29,120,226
30,120,230
31,118,227
32,120,226
33,120,226
34,113,213
35,113,210
36,98,212
37,98,224
38,98,213
39,98,209
40,98,211
41,98,211
42,98,209
43,97,211
44,97,202
45,97,201
46,97,192
47,97,192
48,97,192
49,97,192
50,98,188
51,98,188
52,98,184
53,98,184
54,98,184
55,98,184
56,98,184
57,96,184
58,96,182
59,96,182
